,NAME_CONTRACT_TYPE,NAME_TYPE_SUITE,ORGANIZATION_TYPE,DAYS_EMPLOYED,OWN_CAR_AGE
0,Cash loans,Unaccompanied,Business Entity Type 3,-637,
1,Cash loans,Family,School,-1188,
2,Revolving loans,Unaccompanied,Government,-225,26.0
3,Cash loans,Unaccompanied,Business Entity Type 3,-3039,
4,Cash loans,Unaccompanied,Religion,-3038,
5,Cash loans,"Spouse, partner",Other,-1588,
6,Cash loans,Unaccompanied,Business Entity Type 3,-3130,17.0
7,Cash loans,Unaccompanied,Other,-449,8.0
8,Cash loans,Children,XNA,365243,
9,Revolving loans,Unaccompanied,Electricity,-2019,
10,Cash loans,Unaccompanied,Medicine,-679,
11,Cash loans,Children,XNA,365243,
12,Cash loans,Unaccompanied,Business Entity Type 2,-2717,
13,Cash loans,Unaccompanied,Self-employed,-3028,23.0
14,Cash loans,Unaccompanied,Transport: type 2,-203,
15,Cash loans,Family,Business Entity Type 2,-1157,17.0
16,Cash loans,Unaccompanied,Government,-1317,
17,Revolving loans,Unaccompanied,Construction,-191,
18,Revolving loans,Other_A,Housing,-7804,
19,Cash loans,Unaccompanied,Kindergarten,-2038,
20,Revolving loans,Unaccompanied,Self-employed,-4286,7.0
21,Cash loans,Unaccompanied,Trade: type 7,-1652,14.0
22,Cash loans,Unaccompanied,Self-employed,-4306,
23,Cash loans,Unaccompanied,XNA,365243,
24,Cash loans,Unaccompanied,Business Entity Type 3,-746,7.0
25,Cash loans,Unaccompanied,Business Entity Type 3,-3494,
26,Cash loans,Unaccompanied,Business Entity Type 3,-2628,
27,Cash loans,Family,Industry: type 11,-1234,
28,Cash loans,Unaccompanied,Military,-1796,1.0
29,Revolving loans,Unaccompanied,Business Entity Type 3,-1010,
30,Cash loans,Unaccompanied,Business Entity Type 3,-2668,
31,Cash loans,Family,Services,-1104,
32,Cash loans,Unaccompanied,Business Entity Type 2,-4404,
33,Cash loans,Unaccompanied,Self-employed,-2060,3.0
34,Cash loans,Unaccompanied,Security Ministries,-4585,
35,Cash loans,Unaccompanied,Self-employed,-1275,
36,Cash loans,Unaccompanied,Other,-768,
37,Cash loans,Unaccompanied,Transport: type 4,-1288,
38,Cash loans,Unaccompanied,XNA,365243,
39,Revolving loans,Unaccompanied,Business Entity Type 3,-1761,3.0
40,Cash loans,Unaccompanied,Business Entity Type 3,-1262,
41,Cash loans,Unaccompanied,Industry: type 1,-475,
42,Cash loans,Unaccompanied,Self-employed,-3597,
43,Cash loans,Unaccompanied,XNA,365243,
44,Cash loans,Unaccompanied,Business Entity Type 3,-758,
45,Revolving loans,Family,Self-employed,-895,
46,Cash loans,Family,XNA,365243,
47,Cash loans,Unaccompanied,Business Entity Type 3,-5332,
48,Cash loans,Unaccompanied,Government,-4411,
49,Cash loans,Unaccompanied,Transport: type 2,-9523,3.0
50,Revolving loans,Unaccompanied,School,-1176,
51,Cash loans,Unaccompanied,Services,-6977,7.0
52,Cash loans,Unaccompanied,Emergency,-778,13.0
53,Cash loans,Unaccompanied,Self-employed,-1392,
54,Cash loans,Unaccompanied,XNA,365243,8.0
55,Cash loans,Unaccompanied,Medicine,-4106,
56,Cash loans,Family,XNA,365243,
57,Revolving loans,Unaccompanied,Security,-2351,
58,Cash loans,Unaccompanied,Transport: type 4,-1743,10.0
59,Cash loans,Unaccompanied,Business Entity Type 3,-2091,2.0
60,Cash loans,Family,Industry: type 11,-2446,
61,Cash loans,Unaccompanied,Trade: type 2,-1324,
62,Cash loans,Unaccompanied,XNA,365243,10.0
63,Cash loans,Family,University,-3720,
64,Cash loans,,Transport: type 3,-2546,1.0
65,Cash loans,Unaccompanied,Police,-579,
66,Cash loans,Unaccompanied,Government,-4856,21.0
67,Revolving loans,Unaccompanied,Construction,-114,
68,Revolving loans,Unaccompanied,Kindergarten,-3154,
69,Cash loans,Unaccompanied,Other,-121,20.0
70,Cash loans,Unaccompanied,Business Entity Type 3,-2844,
71,Cash loans,Unaccompanied,Business Entity Type 3,-892,22.0
72,Cash loans,Unaccompanied,Business Entity Type 3,-1156,
73,Cash loans,Unaccompanied,Business Entity Type 1,-2224,
74,Cash loans,Unaccompanied,Self-employed,-2492,
75,Cash loans,Unaccompanied,Self-employed,-2011,
76,Revolving loans,Unaccompanied,School,-4066,
77,Cash loans,Unaccompanied,Self-employed,-2811,
78,Cash loans,Unaccompanied,Postal,-721,
79,Cash loans,Unaccompanied,XNA,365243,
80,Revolving loans,Unaccompanied,Trade: type 7,-1434,
81,Cash loans,Unaccompanied,XNA,365243,
82,Cash loans,Unaccompanied,Business Entity Type 3,-2442,20.0
83,Revolving loans,Unaccompanied,Transport: type 3,-924,1.0
84,Cash loans,Unaccompanied,XNA,365243,
85,Cash loans,Unaccompanied,Industry: type 11,-1094,65.0
86,Cash loans,Unaccompanied,Business Entity Type 1,-969,5.0
87,Cash loans,Unaccompanied,Transport: type 4,-192,
88,Cash loans,Unaccompanied,School,-1694,
89,Cash loans,Unaccompanied,Business Entity Type 3,-862,
90,Cash loans,Unaccompanied,Government,-8862,
91,Cash loans,Unaccompanied,Business Entity Type 3,-1415,
92,Cash loans,Unaccompanied,Housing,-741,21.0
93,Cash loans,Unaccompanied,Business Entity Type 3,-1249,17.0
94,Cash loans,Family,Industry: type 4,-2015,2.0
95,Cash loans,Unaccompanied,Agriculture,-7980,11.0
96,Cash loans,Unaccompanied,Restaurant,-693,
97,Cash loans,"Spouse, partner",Business Entity Type 3,-367,
98,Cash loans,Unaccompanied,Kindergarten,-6737,
99,Cash loans,Unaccompanied,XNA,365243,
100,Revolving loans,Unaccompanied,Medicine,-2419,
101,Cash loans,Unaccompanied,Government,-2953,
102,Cash loans,Unaccompanied,Business Entity Type 2,-669,
103,Cash loans,Unaccompanied,Other,-2469,
104,Cash loans,Unaccompanied,Medicine,-8466,
105,Cash loans,Unaccompanied,XNA,365243,
106,Cash loans,Unaccompanied,XNA,365243,
107,Revolving loans,Family,Transport: type 4,-782,
108,Cash loans,Unaccompanied,XNA,365243,
109,Revolving loans,Unaccompanied,Business Entity Type 1,-225,5.0
110,Cash loans,Unaccompanied,Trade: type 2,-267,
111,Cash loans,Unaccompanied,Other,-1169,
112,Cash loans,Unaccompanied,Business Entity Type 2,-968,
113,Cash loans,Unaccompanied,Government,-1043,
114,Revolving loans,Unaccompanied,Medicine,-465,
115,Cash loans,Unaccompanied,Business Entity Type 3,-215,
116,Cash loans,Unaccompanied,Business Entity Type 3,-239,9.0
117,Cash loans,Family,XNA,365243,2.0
118,Cash loans,Unaccompanied,XNA,365243,5.0
119,Cash loans,Family,Business Entity Type 3,-2305,
120,Revolving loans,Unaccompanied,Business Entity Type 3,-802,
121,Cash loans,"Spouse, partner",Transport: type 2,-5387,7.0
122,Revolving loans,Unaccompanied,Government,-3420,
123,Cash loans,Unaccompanied,Self-employed,-4560,
124,Cash loans,Family,Self-employed,-4375,8.0
125,Cash loans,Unaccompanied,XNA,365243,13.0
126,Cash loans,Unaccompanied,Business Entity Type 3,-2832,
127,Cash loans,Family,Other,-8647,
128,Cash loans,Family,Self-employed,-481,4.0
129,Cash loans,Unaccompanied,Business Entity Type 3,-1451,
130,Cash loans,Unaccompanied,Self-employed,-2764,
131,Cash loans,Family,Construction,-1895,15.0
132,Revolving loans,"Spouse, partner",Self-employed,-2995,
133,Cash loans,Unaccompanied,Construction,-2899,
134,Cash loans,Family,Medicine,-5411,65.0
135,Cash loans,Unaccompanied,Business Entity Type 3,-1549,
136,Cash loans,Unaccompanied,Culture,-1821,
137,Cash loans,Unaccompanied,Trade: type 7,-4027,
138,Cash loans,Unaccompanied,Business Entity Type 3,-200,
139,Cash loans,Family,Self-employed,-2599,
140,Cash loans,Family,XNA,365243,
141,Cash loans,Unaccompanied,Other,-5717,
142,Cash loans,Unaccompanied,Self-employed,-2630,3.0
143,Cash loans,Family,XNA,365243,9.0
144,Cash loans,Unaccompanied,Government,-1894,
145,Cash loans,Unaccompanied,Hotel,-1039,
146,Cash loans,Unaccompanied,Government,-2596,
147,Revolving loans,"Spouse, partner",Self-employed,-1997,
148,Cash loans,Unaccompanied,Industry: type 7,-266,
149,Cash loans,Unaccompanied,Government,-4319,
150,Cash loans,Family,Self-employed,-334,
151,Cash loans,Unaccompanied,Self-employed,-1485,
152,Cash loans,Unaccompanied,Trade: type 7,-2311,4.0
153,Cash loans,Unaccompanied,Transport: type 4,-4940,
154,Cash loans,Unaccompanied,Business Entity Type 3,-7676,
155,Revolving loans,Unaccompanied,Government,-4758,
156,Cash loans,Unaccompanied,XNA,365243,
157,Cash loans,Unaccompanied,XNA,365243,
158,Cash loans,Unaccompanied,XNA,365243,
159,Cash loans,Unaccompanied,School,-5785,
160,Cash loans,Unaccompanied,Trade: type 7,-1094,
161,Cash loans,Unaccompanied,Government,-4472,3.0
162,Cash loans,Unaccompanied,Business Entity Type 2,-8355,
163,Cash loans,Unaccompanied,Trade: type 3,-150,
164,Cash loans,Unaccompanied,Other,-940,15.0
165,Revolving loans,Unaccompanied,Industry: type 3,-5258,
166,Cash loans,Unaccompanied,Trade: type 3,-341,8.0
167,Cash loans,Unaccompanied,Construction,-2331,8.0
168,Cash loans,Unaccompanied,Self-employed,-1148,
169,Cash loans,Unaccompanied,Self-employed,-1786,1.0
170,Cash loans,Unaccompanied,Industry: type 3,-472,
171,Cash loans,Unaccompanied,Business Entity Type 3,-2730,
172,Cash loans,Unaccompanied,Trade: type 2,-2178,
173,Cash loans,Unaccompanied,XNA,365243,
174,Cash loans,Other_B,XNA,365243,
175,Cash loans,Unaccompanied,XNA,365243,
176,Cash loans,Unaccompanied,Housing,-1373,
177,Cash loans,Unaccompanied,Business Entity Type 3,-1720,12.0
178,Cash loans,"Spouse, partner",Government,-3592,
179,Cash loans,Family,Self-employed,-2802,
180,Revolving loans,Unaccompanied,Construction,-1038,
181,Cash loans,Unaccompanied,School,-17,
182,Cash loans,Unaccompanied,Other,-328,
183,Cash loans,Unaccompanied,Industry: type 3,-1282,
184,Cash loans,Unaccompanied,Business Entity Type 3,-111,
185,Cash loans,Unaccompanied,XNA,365243,11.0
